Freq.	I(C1)/V(o)
1.00000000000000e+007	9.99997799968396e-011,-6.28317839566744e-005
3.02040816326531e+007	9.99997799782324e-011,-1.89777633175689e-004
5.04081632653061e+007	9.99997800187970e-011,-3.16723482394619e-004
7.06122448979592e+007	9.99997800109458e-011,-4.43669331613536e-004
9.08163265306122e+007	9.99997800049212e-011,-5.70615180832450e-004
1.11020408163265e+008	9.99997800003610e-011,-6.97561030051362e-004
1.31224489795918e+008	9.99997799883580e-011,-8.24506879270272e-004
1.51428571428571e+008	9.99997800036256e-011,-9.51452728489183e-004
1.71632653061224e+008	9.99997800109500e-011,-1.07839857770809e-003
1.91836734693878e+008	9.99997800142822e-011,-1.20534442692700e-003
2.12040816326531e+008	9.99997800109503e-011,-1.33229027614591e-003
2.32244897959184e+008	9.99997800109846e-011,-1.45923612536482e-003
2.52448979591837e+008	9.99997800119087e-011,-1.58618197458373e-003
2.72653061224490e+008	9.99997800003626e-011,-1.71312782380264e-003
2.92857142857143e+008	9.99997799897748e-011,-1.84007367302155e-003
3.13061224489796e+008	9.99997800146811e-011,-1.96701952224046e-003
3.33265306122449e+008	9.99997799791870e-011,-2.09396537145937e-003
3.53469387755102e+008	9.99997799786178e-011,-2.22091122067827e-003
3.73673469387755e+008	9.99997800068655e-011,-2.34785706989718e-003
3.93877551020408e+008	9.99997800003629e-011,-2.47480291911609e-003
4.14081632653061e+008	9.99997800193015e-011,-2.60174876833500e-003
4.34285714285714e+008	9.99997800215386e-011,-2.72869461755391e-003
4.54489795918367e+008	9.99997800111453e-011,-2.85564046677282e-003
4.74693877551020e+008	9.99997800114859e-011,-2.98258631599173e-003
4.94897959183673e+008	9.99997799883160e-011,-3.10953216521063e-003
5.15102040816327e+008	9.99997799991713e-011,-3.23647801442954e-003
5.35306122448980e+008	9.99997800142580e-011,-3.36342386364845e-003
5.55510204081633e+008	9.99997800130664e-011,-3.49036971286736e-003
5.75714285714286e+008	9.99997799952076e-011,-3.61731556208627e-003
5.95918367346939e+008	9.99997800003629e-011,-3.74426141130518e-003
6.16122448979592e+008	9.99997800038647e-011,-3.87120726052409e-003
6.36326530612245e+008	9.99997799858113e-011,-3.99815310974300e-003
6.56530612244898e+008	9.99997799959372e-011,-4.12509895896190e-003
6.76734693877551e+008	9.99997799848872e-011,-4.25204480818081e-003
6.96938775510204e+008	9.99997800163007e-011,-4.37899065739972e-003
7.17142857142858e+008	9.99997800273507e-011,-4.50593650661863e-003
7.37346938775511e+008	9.99997799560515e-011,-4.63288235583754e-003
7.57551020408164e+008	9.99997799974790e-011,-4.75982820505645e-003
7.77755102040817e+008	9.99997800181488e-011,-4.88677405427536e-003
7.97959183673470e+008	9.99997799927029e-011,-5.01371990349427e-003
8.18163265306123e+008	9.99997800003630e-011,-5.14066575271318e-003
8.38367346938776e+008	9.99997799917788e-011,-5.26761160193208e-003
8.58571428571429e+008	9.99997799988212e-011,-5.39455745115099e-003
8.78775510204082e+008	9.99997800098711e-011,-5.52150330036990e-003
8.98979591836736e+008	9.99997800003630e-011,-5.64844914958881e-003
9.19183673469389e+008	9.99997800003630e-011,-5.77539499880772e-003
9.39387755102042e+008	9.99997800109509e-011,-5.90234084802663e-003
9.59591836734695e+008	9.99997800109509e-011,-6.02928669724554e-003
9.79795918367348e+008	9.99997800003630e-011,-6.15623254646445e-003
1.00000000000000e+009	9.99997800020554e-011,-6.28317839568335e-003
