Freq.	I(C1)/V(i)	I(C2)/V(i)
8.80000000000000e+008	1.00000001000000e-003,6.08212308997057e-002	9.99999999900100e-002,-5.52920306958426e-003
8.90000000000000e+008	1.00000001000000e-003,6.15123736722186e-002	9.99999999900100e-002,-5.59203492265180e-003
9.00000000000000e+008	1.00000001000000e-003,6.22035316019726e-002	9.99999999900100e-002,-5.65486677571930e-003
9.10000000000000e+008	1.00000001000000e-003,6.28946819531060e-002	9.99999999900100e-002,-5.71769862878676e-003
9.20000000000000e+008	1.00000001000000e-003,6.35858244701597e-002	9.99999999900100e-002,-5.78053048185417e-003
9.30000000000000e+008	1.00000001000000e-003,6.42769826553728e-002	9.99999999900100e-002,-5.84336233492155e-003
9.40000000000000e+008	1.00000001000000e-003,6.49681330065062e-002	9.99999999900100e-002,-5.90619418798888e-003
9.50000000000000e+008	1.00000001000000e-003,6.56592914471784e-002	9.99999999900100e-002,-5.96902604105617e-003
9.60000000000000e+008	1.00000001000000e-003,6.63504418834649e-002	9.99999999900100e-002,-6.03185789412343e-003
9.70000000000000e+008	1.00000001000000e-003,6.70415840599064e-002	9.99999999900100e-002,-6.09468974719065e-003
9.80000000000000e+008	1.00000001000000e-003,6.77327260660419e-002	9.99999999900100e-002,-6.15752160025784e-003
9.90000000000000e+008	1.00000001000000e-003,6.84238847621732e-002	9.99999999900100e-002,-6.22035345332499e-003
1.00000000000000e+009	1.00000001000000e-003,6.91150351133066e-002	9.99999999900100e-002,-6.28318530639212e-003
