Freq.	I(C1)/V(o)
6.16595001861481e+007	(-6.82364121873114e+001dB,-8.99999852108816e+001°)
6.30957344480192e+007	(-6.80364121873113e+001dB,-8.99999855475230e+001°)
6.45654229034654e+007	(-6.78364121873113e+001dB,-8.99999858765016e+001°)
6.60693448007594e+007	(-6.76364121873113e+001dB,-8.99999861979916e+001°)
6.76082975391980e+007	(-6.74364121873113e+001dB,-8.99999865121637e+001°)
6.91830970918935e+007	(-6.72364121873113e+001dB,-8.99999868191843e+001°)
7.07945784384136e+007	(-6.70364121873113e+001dB,-8.99999871192163e+001°)
7.24435960074988e+007	(-6.68364121873113e+001dB,-8.99999874124188e+001°)
7.41310241300915e+007	(-6.66364121873113e+001dB,-8.99999876989471e+001°)
7.58577575029182e+007	(-6.64364121873113e+001dB,-8.99999879789532e+001°)
7.76247116628690e+007	(-6.62364121873112e+001dB,-8.99999882525857e+001°)
7.94328234724279e+007	(-6.60364121873112e+001dB,-8.99999885199895e+001°)
8.12830516164097e+007	(-6.58364121873112e+001dB,-8.99999887813064e+001°)
8.31763771102669e+007	(-6.56364121873112e+001dB,-8.99999890366751e+001°)
8.51138038202374e+007	(-6.54364121873112e+001dB,-8.99999892862308e+001°)
8.70963589956078e+007	(-6.52364121873112e+001dB,-8.99999895301060e+001°)
8.91250938133743e+007	(-6.50364121873112e+001dB,-8.99999897684299e+001°)
9.12010839355907e+007	(-6.48364121873112e+001dB,-8.99999900013288e+001°)
9.33254300796988e+007	(-6.46364121873112e+001dB,-8.99999902289264e+001°)
9.54992586021433e+007	(-6.44364121873112e+001dB,-8.99999904513432e+001°)
9.77237220955808e+007	(-6.42364121873112e+001dB,-8.99999906686971e+001°)
9.99999999999997e+007	(-6.40364121873112e+001dB,-8.99999908811035e+001°)
1.02329299228075e+008	(-6.38364121873112e+001dB,-8.99999910886749e+001°)
1.04712854805090e+008	(-6.36364121873112e+001dB,-8.99999912915215e+001°)
1.07151930523760e+008	(-6.34364121873112e+001dB,-8.99999914897506e+001°)
1.09647819614318e+008	(-6.32364121873112e+001dB,-8.99999916834676e+001°)
1.12201845430196e+008	(-6.30364121873112e+001dB,-8.99999918727749e+001°)
1.14815362149688e+008	(-6.28364121873112e+001dB,-8.99999920577732e+001°)
1.17489755493953e+008	(-6.26364121873112e+001dB,-8.99999922385603e+001°)
1.20226443461741e+008	(-6.24364121873111e+001dB,-8.99999924152323e+001°)
1.23026877081238e+008	(-6.22364121873111e+001dB,-8.99999925878827e+001°)
1.25892541179416e+008	(-6.20364121873112e+001dB,-8.99999927566030e+001°)
1.28824955169313e+008	(-6.18364121873111e+001dB,-8.99999929214829e+001°)
1.31825673855640e+008	(-6.16364121873111e+001dB,-8.99999930826096e+001°)
1.34896288259165e+008	(-6.14364121873111e+001dB,-8.99999932400686e+001°)
1.38038426460288e+008	(-6.12364121873111e+001dB,-8.99999933939435e+001°)
1.41253754462275e+008	(-6.10364121873111e+001dB,-8.99999935443157e+001°)
1.44543977074592e+008	(-6.08364121873111e+001dB,-8.99999936912650e+001°)
1.47910838816820e+008	(-6.06364121873111e+001dB,-8.99999938348693e+001°)
1.51356124843620e+008	(-6.04364121873111e+001dB,-8.99999939752048e+001°)
1.54881661891248e+008	(-6.02364121873111e+001dB,-8.99999941123459e+001°)
1.58489319246111e+008	(-6.00364121873111e+001dB,-8.99999942463653e+001°)
