Freq.	I(C1)/V(o)	I(C2)/V(o)
8.30000000000000e+008	9.99999997800000e-014,-5.21504379922251e-003	1.00000010000000e-004,5.21503841318835e-003
8.40000000000000e+008	9.99999997800000e-014,-5.27787565222519e-003	1.00000010000000e-004,5.27787735415438e-003
8.50000000000000e+008	9.99999997800000e-014,-5.34070750522787e-003	1.00000010000000e-004,5.34070922741813e-003
8.60000000000000e+008	9.99999997800000e-014,-5.40353935823055e-003	1.00000010000000e-004,5.40354110068187e-003
8.70000000000000e+008	9.99999997800000e-014,-5.46637121123323e-003	1.00000010000000e-004,5.46638038226006e-003
8.80000000000000e+008	9.99999997800000e-014,-5.52920306423591e-003	1.00000010000000e-004,5.52921234067684e-003
8.90000000000000e+008	9.99999997800000e-014,-5.59203491723860e-003	1.00000010000000e-004,5.59203672047311e-003
9.00000000000000e+008	9.99999997800000e-014,-5.65486677024128e-003	1.00000010000000e-004,5.65486092996330e-003
9.10000000000000e+008	9.99999997800000e-014,-5.71769862324396e-003	1.00000010000000e-004,5.71770046700061e-003
9.20000000000000e+008	9.99999997800000e-014,-5.78053047624664e-003	1.00000010000000e-004,5.78054017434399e-003
9.30000000000000e+008	9.99999997800000e-014,-5.84336232924932e-003	1.00000010000000e-004,5.84336421352810e-003
9.40000000000000e+008	9.99999997800000e-014,-5.90619418225200e-003	1.00000010000000e-004,5.90619608679185e-003
9.50000000000000e+008	9.99999997800000e-014,-5.96902603525468e-003	1.00000010000000e-004,5.96902796005559e-003
9.60000000000000e+008	9.99999997800000e-014,-6.03185788825736e-003	1.00000010000000e-004,6.03185983331934e-003
9.70000000000000e+008	9.99999997800000e-014,-6.09468974126004e-003	1.00000010000000e-004,6.09468344673825e-003
9.80000000000000e+008	9.99999997800000e-014,-6.15752159426272e-003	1.00000010000000e-004,6.15752357984683e-003
9.90000000000000e+008	9.99999997800000e-014,-6.22035344726540e-003	1.00000010000000e-004,6.22036388326149e-003
1.00000000000000e+009	9.99999997800000e-014,-6.28318530026808e-003	1.00000010000000e-004,6.28318732637432e-003
