Freq.	I(Ci)/V(o)	I(Co)/V(o)
9.00000000000000e+008	-2.70819995707544e-006,-8.45068300043465e-007	3.26571522473098e-005,4.88344665036919e-003
9.10000000000000e+008	-2.71380970768239e-006,-8.36898886364234e-007	3.32077503082332e-005,4.93765130194678e-003
9.20000000000000e+008	-2.71925949180911e-006,-8.28849070873302e-007	3.37637093909797e-005,4.99185621416118e-003
9.30000000000000e+008	-2.72455510718802e-006,-8.20916809856288e-007	3.43250483460197e-005,5.04606138011496e-003
9.40000000000000e+008	-2.72970210184830e-006,-8.13100069260310e-007	3.48917852097793e-005,5.10026679292776e-003
9.50000000000000e+008	-2.73470578627359e-006,-8.05396827908955e-007	3.54639372464787e-005,5.15447244667290e-003
9.60000000000000e+008	-2.73957124491865e-006,-7.97805080323556e-007	3.60415209848690e-005,5.20867833573029e-003
9.70000000000000e+008	-2.74430334712113e-006,-7.90322839187455e-007	3.66245522515471e-005,5.26288445243612e-003
9.80000000000000e+008	-2.74890675744045e-006,-7.82948137489429e-007	3.72130462086198e-005,5.31709079375895e-003
9.90000000000000e+008	-2.75338594545485e-006,-7.75679030378359e-007	3.78070173817199e-005,5.37129735152408e-003
1.00000000000000e+009	-2.75774519504679e-006,-7.68513596757015e-007	3.84064796927486e-005,5.42550411650088e-003
