Freq.	I(Ci)/V(i)	I(Co)/V(i)
7.20000000000000e+008	8.37544506733425e-005,1.22574083549390e-002	4.73923666948668e-003,-4.10022840429398e-003
7.30000000000000e+008	8.60971041872578e-005,1.24276386830005e-002	4.73876415854473e-003,-4.15717414867314e-003
7.40000000000000e+008	8.84720624965038e-005,1.25978682006883e-002	4.73828513070292e-003,-4.21411980798837e-003
7.50000000000000e+008	9.08793252860445e-005,1.27680969070318e-002	4.73779958598148e-003,-4.27106538117438e-003
7.60000000000000e+008	9.33188922365604e-005,1.29383247897858e-002	4.73730752440088e-003,-4.32801086716197e-003
7.70000000000000e+008	9.57907630244490e-005,1.31085518456037e-002	4.73680894598189e-003,-4.38495626487830e-003
7.80000000000000e+008	9.82949373218244e-005,1.32787780633220e-002	4.73630385074554e-003,-4.44190157324710e-003
7.90000000000000e+008	1.00831414796518e-004,1.34490034402241e-002	4.73579223871316e-003,-4.49884679118891e-003
8.00000000000000e+008	1.03400195112079e-004,1.36192279641586e-002	4.73527410990633e-003,-4.55579191762126e-003
8.10000000000000e+008	1.06001277927773e-004,1.37894516329030e-002	4.73474946434691e-003,-4.61273695145886e-003
8.20000000000000e+008	1.08634662898583e-004,1.39596744324156e-002	4.73421830205705e-003,-4.66968189161380e-003
8.30000000000000e+008	1.11300349675211e-004,1.41298963608057e-002	4.73368062305916e-003,-4.72662673699568e-003
8.40000000000000e+008	1.13998337904076e-004,1.43001174075996e-002	4.73313642737593e-003,-4.78357148651174e-003
8.50000000000000e+008	1.16728627227313e-004,1.44703375669387e-002	4.73258571503033e-003,-4.84051613906705e-003
8.60000000000000e+008	1.19491217282778e-004,1.46405568253856e-002	4.73202848604561e-003,-4.89746069356461e-003
8.70000000000000e+008	1.22286107704043e-004,1.48107751784955e-002	4.73146474044527e-003,-4.95440514890546e-003
8.80000000000000e+008	1.25113298120400e-004,1.49809926185873e-002	4.73089447825312e-003,-5.01134950398881e-003
8.90000000000000e+008	1.27972788156857e-004,1.51512091360472e-002	4.73031769949323e-003,-5.06829375771214e-003
9.00000000000000e+008	1.30864577434143e-004,1.53214247253318e-002	4.72973440418993e-003,-5.12523790897126e-003
9.10000000000000e+008	1.33788665568704e-004,1.54916393743322e-002	4.72914459236785e-003,-5.18218195666049e-003
9.20000000000000e+008	1.36745052172706e-004,1.56618530749587e-002	4.72854826405188e-003,-5.23912589967265e-003
9.30000000000000e+008	1.39733736854034e-004,1.58320658209781e-002	4.72794541926719e-003,-5.29606973689917e-003
9.40000000000000e+008	1.42754719216290e-004,1.60022776008947e-002	4.72733605803922e-003,-5.35301346723019e-003
9.50000000000000e+008	1.45807998858797e-004,1.61724884073596e-002	4.72672018039371e-003,-5.40995708955462e-003
9.60000000000000e+008	1.48893575376598e-004,1.63426982316617e-002	4.72609778635663e-003,-5.46690060276017e-003
9.70000000000000e+008	1.52011448360455e-004,1.65129070661201e-002	4.72546887595428e-003,-5.52384400573345e-003
9.80000000000000e+008	1.55161617396848e-004,1.66831148999543e-002	4.72483344921317e-003,-5.58078729736001e-003
9.90000000000000e+008	1.58344082067980e-004,1.68533217267012e-002	4.72419150616015e-003,-5.63773047652440e-003
1.00000000000000e+009	1.61558841951771e-004,1.70235275342092e-002	4.72354304682231e-003,-5.69467354211022e-003
