Freq.	I(Ci)/V(i)	I(Co)/V(i)
7.80000000000000e+008	1.78390941485423e-003,1.22416106664090e-002	-7.41089278596383e-004,-2.03748947631621e-003
7.90000000000000e+008	1.79154237806124e-003,1.23843929299802e-002	-7.58046285285340e-004,-2.01757170978763e-003
8.00000000000000e+008	1.79904244339307e-003,1.25272663332843e-002	-7.74470354171133e-004,-1.99795332562176e-003
8.10000000000000e+008	1.80641606577727e-003,1.26702297865449e-002	-7.90382494271970e-004,-1.97863078372102e-003
8.20000000000000e+008	1.81366940374564e-003,1.28132821388120e-002	-8.05802749984821e-004,-1.95960037433406e-003
8.30000000000000e+008	1.82080833435396e-003,1.29564221978961e-002	-8.20750249642216e-004,-1.94085824530103e-003
8.40000000000000e+008	1.82783846733516e-003,1.30996487395223e-002	-8.35243251574752e-004,-1.92240042648844e-003
8.50000000000000e+008	1.83476515852070e-003,1.32429605057125e-002	-8.49299187791349e-004,-1.90422285168377e-003
8.60000000000000e+008	1.84159352256429e-003,1.33863562129770e-002	-8.62934705389382e-004,-1.88632137819423e-003
8.70000000000000e+008	1.84832844500128e-003,1.35298345632398e-002	-8.76165705802816e-004,-1.86869180437069e-003
8.80000000000000e+008	1.85497459367645e-003,1.36733942459246e-002	-8.89007381994171e-004,-1.85132988525694e-003
8.90000000000000e+008	1.86153642957143e-003,1.38170339359709e-002	-9.01474253693235e-004,-1.83423134654510e-003
9.00000000000000e+008	1.86801821706238e-003,1.39607523114180e-002	-9.13580200780972e-004,-1.81739189700108e-003
9.10000000000000e+008	1.87442403363709e-003,1.41045480380435e-002	-9.25338494914615e-004,-1.80080723950811e-003
9.20000000000000e+008	1.88075777909966e-003,1.42484197914689e-002	-9.36761829484368e-004,-1.78447308086259e-003
9.30000000000000e+008	1.88702318428958e-003,1.43923662469755e-002	-9.47862347990666e-004,-1.76838514044329e-003
9.40000000000000e+008	1.89322381934108e-003,1.45363860890753e-002	-9.58651670923966e-004,-1.75253915786415e-003
9.50000000000000e+008	1.89936310150706e-003,1.46804780044862e-002	-9.69140921228958e-004,-1.73693089970940e-003
9.60000000000000e+008	1.90544430257120e-003,1.48246406949813e-002	-9.79340748426942e-004,-1.72155616544171e-003
9.70000000000000e+008	1.91147055587030e-003,1.49688728762054e-002	-9.89261351470648e-004,-1.70641079256410e-003
9.80000000000000e+008	1.91744486294798e-003,1.51131732698494e-002	-9.98912500399279e-004,-1.69149066110964e-003
9.90000000000000e+008	1.92337009985994e-003,1.52575406149585e-002	-1.00830355685887e-003,-1.67679169752565e-003
1.00000000000000e+009	1.92924902314949e-003,1.54019736692100e-002	-1.01744349355051e-003,-1.66230987801262e-003
